SMILES,Molecule Name,LogS
CCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011226,-3.640164517660112
CN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011227,-3.688246138944246
CCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011232,-3.812479279163537
COCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011233,-3.774690718274137
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NCC(F)F)ccc3n(C)c12,E-0011234,-4.176525770829699
Cc1nc(C(N)=O)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011235,-3.718966632752272
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N)ccc3n(C)c12,E-0011236,-3.9507819773298185
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN)ccc3n(C)c12,E-0011240,-3.759450751717401
Cn1c2ccc(OCC3=NCCN3)cc2c2cc(C(N)=O)ccc21,E-0011241,-3.673664139071248
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN)ccc3n(C)c12,E-0011242,-3.6757175447023074
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC(C)C)ccc3n(C)c12,E-0011243,-3.684029654543082
C[C@H](N)COc1ccc2c(c1)c1cc(C(N)=O)ccc1n2C,E-0011247,-3.6716203965612624
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N)ccc3n(C)c12,E-0011249,-3.7520267336381936
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)O)ccc3n(C)c12,E-0011250,-3.838631997765025
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN(C)C)ccc3n(C)c12,E-0011251,-3.632644078973981
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)O)ccc3n(C)c12,E-0011252,-4.071092309756048
C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011253,-3.640164517660112
COC[C@H](C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011255,-3.899629454882437
Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3nc21,E-0011256,-5.924453038607469
NCCCNc1nc(NC(=O)OCCCN)cc2c(-c3ccnc(N4CCNCC4)c3)cccc12,E-0011259,-3.7569619513137056
Cc1nc(CCC(=O)Nc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011261,-3.665546248849069
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CO)ccc3n(C)c12,E-0011262,-3.906578314837765
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CO)ccc3n(C)c12,E-0011264,-4.035740369803151
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccccc3n(C)c12,E-0011265,-3.876148359032914
Cc1nc(CCCNc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0011266,-3.728158393463501
C[C@H](N)COc1ccc2c(c1)c1ccc(-c3cccnc3)cc1n2C,E-0011267,-3.8181564120552274
C[C@H](N)COc1ccc2c(c1)c1cc(-c3ccncc3)ccc1n2C,E-0011270,-4.614393726401688
Cc1c2ccccc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0011271,-4.586700235918748
C[C@H](N)COc1ccc2c(c1)c1ccc(-c3ccncc3)cc1n2C,E-0011276,-3.832682665251824
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N(C)C)ccc3n(C)c12,E-0011277,-3.815308569182401
Cn1c2ccc(OCC(N)=O)cc2c2ccc(-c3ccncc3)cc21,E-0011278,-3.7569619513137056
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN(C)C)ccc3n(C)c12,E-0011279,-3.7644715530924513
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3ccccc3nc21,E-0011282,-3.801342913045578
CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011283,-3.718966632752272
Cc1c2ccncc2cc2c3cc(C(=O)NCC(N)=O)ccc3n(C)c12,E-0011285,-5.368556230986828
Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)C(N)=O)ccc3n(C)c12,E-0011286,-5.888737486340935
Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)C(N)=O)ccc3n(C)c12,E-0011288,-5.141462802430361
COC(C)(C)CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011289,-4.139063379299906
CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011290,-3.779891911959945
Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3cc21,E-0011291,-5.172630726946175
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3cc21,E-0011292,-3.87942606879415
COC1CCN(CCOc2ccc3c(c2)c2nc4cnccc4nc2n3C)CC1,E-0011294,-3.677780705266081
Cn1c2ccc(OCCN3CCC(F)CC3)cc2c2nc3cnccc3nc21,E-0011295,-3.896196279044043
CN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011296,-3.705533773838407
Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N(C)C)ccc3n(C)c12,E-0011297,-3.8041003475907664
COCC(C)(C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011299,-4.716698771296451
Cn1c2ccc(OCCN3CCCC3)cc2c2nc3cnccc3nc21,E-0011300,-3.6216020990518634
Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3cc21,E-0011301,-3.872895201635192
Cn1c2ccc(OCCCN3CCCCC3)cc2c2nc3cnccc3nc21,E-0011302,-3.684029654543082
Cn1c2ccc(OCCCCN3CCCCC3)cc2c2nc3cnccc3nc21,E-0011303,-3.703334809738469
COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,E-0011305,-4.239577516576788
COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,E-0011306,-4.130768280269024
CC(C)N[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011308,-3.75448733218585
CN1CCN=C1COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011309,-3.679853713888946
CCCN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011310,-3.692503962086787
Cn1c2ccc(OCCCN3CCCC3)cc2c2nc3cnccc3nc21,E-0011311,-3.6757175447023074
Cn1c2ccc(OCCCCN3CCCC3)cc2c2nc3cnccc3nc21,E-0011312,-3.6556077263148894
C[C@@H](COc1ccc2c(c1)c1nc3cnccc3nc1n2C)N1CCCCC1,E-0011313,-3.6819366650372394
C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3cc1n2C,E-0011314,-3.625251653989896
Cn1c2ccc(OC[C@@H]3CCCN3)cc2c2nc3cnccc3nc21,E-0011315,-3.642065152999546
Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,E-0011316,-4.251811972993799
Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011317,-4.346787486224656
Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0011335,-4.943095148663527
COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,E-0011365,-5.215382707367125
COCCNC(=O)c1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011629,-5.276544327964814
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,E-0011631,-5.330683119433888
Cn1c2ccc(OCCNC3CCC(F)(F)CC3)cc2c2nc3cnccc3nc21,E-0011632,-3.772113295386327
Cn1c2ccc(OCCNC3CCOCC3)cc2c2nc3cnccc3nc21,E-0011636,-3.6757175447023074
Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011637,-4.465973893943865
Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011638,-4.251037138743839
Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3ccccc3nc21,E-0011639,-3.876148359032914
Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3cc21,E-0011640,-3.7471469690201062
Cn1c2ccc(OCCN3CCCCC3)cc2c2cc(-c3ccncc3)ccc21,E-0011642,-3.832682665251824
Cn1c2ccc(C(=O)NCCO)cc2c2nc3cnccc3cc21,E-0011643,-3.869666231504994
Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)ccc3n(C)c12,E-0011644,-4.142064735280571
Cn1c2ccc(OCCN3CCCCC3)cc2c2ccc(-c3ccncc3)cc21,E-0011645,-3.9706162223147903
O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,E-0011646,-4.20690839982342
Cn1c(=O)ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011647,-4.567030709125595
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,E-0011648,-4.301029995663981
C[C@H](N)COc1ccc2c(c1)c1cc3ccccc3nc1n2C,E-0011649,-3.896196279044043
Cn1c2ccc(OCC(N)=O)cc2c2cc3ccncc3nc21,E-0011651,-5.244887733604929
Cc1c2ccncc2cc2c3ccccc3n(CCN(C)C)c12,E-0011652,-3.913640169325252
Cc1c2ccnc(C(=O)NCCN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,E-0011653,-5.03810452633215
Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3ccncc3nc21,E-0011654,-3.906578314837765
CN1CCN=C1COc1ccc2c(c1)c1cc3ccccc3nc1n2C,E-0011655,-3.939302159646388
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cc(F)c(F)cc3nc21,E-0011656,-3.939302159646388
CN1C(=O)CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011658,-3.9965394678904937
COc1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2n1,E-0011659,-4.292429823902063
c1cc(OCCN2CCCCC2)cc(-c2ccc3ccnnc3c2)c1,E-0011660,-3.96657624451305
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,E-0011661,-3.987162775294828
O=C1Cc2ccc(-c3ccc(O)cc3)cc2N1,E-0011662,-4.021363051615526
Oc1ccc(-c2ccc3ccncc3c2)cc1,E-0011663,-5.719649306953994
O=C1Cc2ccc(-c3cccc(O)c3)cc2N1,E-0011664,-4.089375595110798
CN1C(=O)Cc2ccc(-c3cccc(O)c3)cc21,E-0011665,-4.130768280269024
Oc1cccc(-c2ccc3ccncc3c2)c1,E-0011666,-4.950781977329818
COc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,E-0011667,-5.623423042943488
CN(C)c1cccc(Nc2nc(-c3ccc(F)cc3)cs2)c1,E-0011668,-5.844663962534939
COc1cc(Nc2nccc(=O)[nH]2)cc(OC)c1,E-0011669,-4.021819483062586
COc1cccc(Nc2nccc(=O)[nH]2)c1,E-0011670,-3.98296666070122
Cc1cccc(Nc2nccc(=O)[nH]2)c1,E-0011671,-4.007004901568658
Cc1c2ccnc(C(=O)NCCN(C)C)c2cc2c3cc(F)ccc3n(C)c12,E-0011672,-4.539102157243452
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2CCN1CCCCC1,E-0011673,-3.856985199745905
Cc1c2ccncc2cc2c3ccccc3n(CC3=NCCN3)c12,E-0011674,-3.712198270069774
Cc1c2ccncc2cc2c3ccccc3n(CCN3CCCCC3)c12,E-0011675,-3.835647144215563
Cc1c2ccncc2cc2c3ccccc3n(CCN3CCOCC3)c12,E-0011676,-3.835647144215563
Cn1c2ccc(OCCN)cc2c2nc3cnccc3nc21,E-0011677,-3.832682665251824
Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3nc21,E-0011678,-3.9318141382538383
C[C@H](N)COc1ccc2c(c1)c1cc3ccncc3nc1n2C,E-0011679,-3.744727494896694
Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,E-0011694,-5.94692155651658
O=C1Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,E-0011695,-4.119186407719209
CN1C(=O)Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,E-0011696,-4.0655015487564325
O=C1Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc2N1,E-0011697,-4.120330794367947
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2nn1,E-0011698,-4.032452023781138
c1cc(OCCN2CCCCC2)cc(-c2ccc3ccncc3c2)c1,E-0011699,-4.147520006363144
CN1C(=O)Cc2ccc(-c3ccc(O)cc3)cc21,E-0011700,-5.13430394008393
Fc1ccc(-c2csc(Nc3ccc4ccccc4c3)n2)cc1,E-0011701,-5.852632892206214
Fc1ccc(-c2csc(Nc3ccncc3)n2)cc1,E-0011702,-5.485452247339714
COc1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1,E-0011703,-5.974039090143621
Nc1ccnc2cc(-c3ccccc3)nn12,E-0011706,-3.98296666070122
COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2CCN1CCOCC1,E-0011753,-3.9318141382538383
CNCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,E-0011754,-3.712198270069774
CNCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0011755,-3.6345120151091
C[C@H](N)COc1ccc2c(c1)c1cc3cnccc3nc1n2C,E-0011756,-3.7644715530924513
Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3cnccc3nc21,E-0011757,-3.688246138944246
Cc1cc(-c2nccs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011758,-4.3535962737769305
CN1C(=O)Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc21,E-0011759,-4.100179497572904
Cc1cc(C2(C#N)CC2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011760,-4.317854923626168
Cc1cc(C#N)cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,E-0011761,-4.292429823902063
O=c1ccnc(Nc2cc(Cl)cc(Cl)c2)[nH]1,E-0011762,-4.08460016478773
O=c1ccnc(Nc2cccc(Cl)c2)[nH]1,E-0011763,-4.077793722560983
CN1CCN=C1COc1ccc2c(c1)c1cc3ccncc3nc1n2C,E-0011764,-3.7569619513137056
Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cc4c(cc3nc21)OCO4,E-0011765,-3.835647144215563
Cn1c2ccc(OCC(N)=O)cc2c2cc3cnccc3nc21,E-0011766,-3.87942606879415
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011791,-5.100179497572904
Cc1cc(C#N)cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,E-0011802,-5.621602099051862
COCCNC(=O)c1ccc2c(c1)c1cc(C#N)cc(C)c1n2C,E-0011803,-5.458420756053419
COc1cc(Nc2nc(-c3ccccc3)cc(=O)[nH]2)cc(OC)c1,E-0011804,-5.585026652029182
Nc1cc(C2CC2)nc2cc(-c3ccccc3)nn12,E-0011805,-5.036212172654444
COc1ccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)cc1,E-0011806,-5.958607314841775
COc1cccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)c1,E-0011807,-5.823908740944319
COC(=O)c1n[nH]cc1Nc1ccccc1,E-0011808,-4.1232050237993
CC(C)c1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011833,-4.742321425130816
C#Cc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011834,-4.468521082957745
COc1ccccc1-c1cc2nc(-c3ccccc3)cc(N)n2n1,E-0011835,-5.940815382368629
COC(=O)c1nn(Cc2ccccc2)cc1N,E-0011836,-3.995678626217357
COC(=O)c1c(N)cnn1Cc1ccccc1,E-0011837,-4.026872146400302
Cc1cc(-c2cnccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011838,-4.099086932262331
Cc1cc(-c2cncs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011839,-4.186419011431808
Cc1cc(C#N)cc2c3cc(OCCNC4CCC(F)(F)CC4)ccc3n(C)c12,E-0011840,-5.173925197299173
Cc1c2ccncc2cc2c3cc(OCC4CNC4)ccc3n(C)c12,E-0011841,-4.22767829327708
Cc1c2ccncc2cc2c3cc(OC4CCNC4)ccc3n(C)c12,E-0011842,-4.162411561764489
COC(=O)c1n[nH]cc1N(C)C,E-0011863,-4.15676722190199
Fc1ccc(-c2csc(Nc3cccc(N4CCOCC4)c3)n2)cc1,E-0011864,-5.943095148663527
Nc1cc(-c2ccccc2)nc2c(-c3ccccc3)cnn12,E-0011865,-5.835647144215563
CCCc1cc(N)n2nc(-c3ccccc3)cc2n1,E-0011866,-5.125518182300533
CN(C)c1cc(-c2ccccc2)nc2cc(-c3ccccc3)nn12,E-0011867,-5.79317412396815
Cc1cc2nc(-c3ccccc3)cc(N)n2n1,E-0011868,-4.51427857351842
COc1ccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)cc1,E-0011869,-5.991399828238082
COc1cccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)c1,E-0011870,-5.991399828238082
OCCNc1cc(-c2ccccc2)nc2cc(-c3ccccc3)nn12,E-0011871,-5.714442690992226
O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,E-0011872,-5.856985199745905
O=C(c1n[nH]c2ccccc12)N1CCC(NCc2ccc(Cl)cc2)CC1,E-0011873,-4.116338564846382
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,E-0011874,-5.640164517660112
Cc1c2ccncc2cc2c3cc(OCC4(C)CNC4)ccc3n(C)c12,E-0011875,-4.356547323513813
Cc1c2ccncc2cc2c3cc(OCC4CCN4)ccc3n(C)c12,E-0011877,-4.447331783887806
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011880,-5.238824186844269
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,E-0011881,-4.163675884293248
c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,E-0011882,-4.068033885271827
CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,E-0011883,-4.068542129310995
Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,E-0011884,-4.22548303427145
Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,E-0011885,-4.31069114087638
Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,E-0011888,-5.978810700930062
COC(=O)c1nn(-c2ccccc2)cc1N,E-0011889,-4.039053804266168
COC(=O)c1nn(C(C)C)cc1N,E-0011890,-4.045275209020937
O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011891,-5.241088107602026
CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011892,-4.571865205971212
CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,E-0011893,-4.87942606879415
CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,E-0011894,-4.364516253185088
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,E-0011895,-5.52432881167557
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,E-0011896,-5.257274868695301
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,E-0011897,-5.721246399047171
O=C(c1n[nH]c2ccccc12)N1CC(NCc2ccc(Cl)cc2)C1,E-0011898,-5.454692883534176
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2Cl)CC1,E-0011899,-5.114073660198569
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,E-0011900,-4.460923901207224
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(F)cc2)CC1,E-0011901,-4.716698771296451
Cc1ccc2[nH]nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)c2c1,E-0011908,-5.913640169325252
O=C(c1n[nH]c2cc(F)ccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011911,-5.795880017344075
