SMILES,Molecule Name,LogD
Cc1ccc2[nH]nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)c2c1,E-0011908,4.3
COc1ccc2c(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)n[nH]c2c1,E-0011913,4.2
O=C(c1n[nH]c2ncccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0011920,3.9
Cc1cc(-c2ccccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011924,3.2
Cc1cc(-c2ncccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011925,2.9
Cc1cc(-c2ccncn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0011927,2.8
c1cncc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011928,2.4
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(C(N)=O)c3)n2)cc1,E-0011929,1.4
c1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,E-0011930,3.3
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncccn4)cc3)n2)CC1,E-0011931,1.9
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0011932,1.9
Nc1nc2c(-c3ccccc3)cnn2cc1-c1ccccc1,E-0011933,4.0
Nc1c(-c2ccccc2)cnc2c(-c3ccccc3)cnn12,E-0011934,4.4
CN(C)CCOc1ccc(-c2cc3nc(-c4ccccc4)cc(N)n3n2)cc1,E-0011937,3.3
Cn1cc(C(=O)N2CCN(c3ccc(CN4CCC4)cc3)CC2)c2cccnc21,E-0011938,0.3
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(F)C4)cc3)CC2)c2cccnc21,E-0011939,1.8
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C(F)(F)F)C4)cc3)CC2)c2cccnc21,E-0011940,2.8
Cc1c(N)c(-n2cc(OCCN3CCCCC3)cn2)cc2cnccc12,E-0011941,2.0
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011942,2.6
CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0011943,2.9
Fc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,E-0011944,3.6
NC(=O)Cc1ccc(Nc2nccc(-c3cc(F)cc(N4CCOCC4)c3)n2)cc1,E-0011945,2.8
CN1CCN(c2cc(F)cc(-c3ccnc(Nc4ccc(CC(N)=O)cc4)n3)c2)CC1,E-0011946,2.5
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5ccccc5)cn4)cc3)n2)CC1,E-0011947,4.0
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccc(F)c5)cn4)cc3)n2)CC1,E-0011948,4.1
Cn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011949,3.5
CN(c1ccc(Cl)cc1)C1CCN(C(=O)c2n[nH]c3ccccc23)CC1,E-0011950,4.5
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)c(F)c2)CC1,E-0011951,3.9
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)cc2F)CC1,E-0011952,3.8
CCCn1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011953,4.6
CC(C)n1nc(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2)c2ccccc21,E-0011954,4.3
O=C(c1noc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,E-0011955,3.9
O=C(c1nsc2ccccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,E-0011956,4.0
COc1ccc2[nH]c3c(=O)n(CC4CCC(=O)NC4)cnc3c2c1,E-0011971,1.2
COc1ccc2[nH]c3c(=O)n(CC4CC5(CNC5)C4)cnc3c2c1,E-0011983,-0.5
COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,E-0011988,1.4
COc1ccc2[nH]c3c(=O)n(C[C@H]4CCCN(C)C4)cnc3c2c1,E-0011989,1.4
COc1ccc2[nH]c3c(=O)n(CCCN4CCCC4)cnc3c2c1,E-0011991,1.1
COc1ccc2[nH]c3c(=O)n(CCCN4CCC(OC)CC4)cnc3c2c1,E-0012036,1.7
COc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2cc1OC,E-0012037,1.2
COc1ccc2[nH]c3c(=O)n(CCCN(C)C4CCCCC4)cnc3c2c1,E-0012055,2.0
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(O)C4)cc3)CC2)c2cccnc21,E-0012083,0.4
COc1cc(N)ncc1CCCN(C)CCCn1cnc2c([nH]c3ccccc32)c1=O,E-0012085,1.4
COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cn2)C1,E-0012099,1.6
COc1ccc2[nH]c3c(=O)n(CCCN(C)CCCc4cnc(N)cc4OC)cnc3c2c1,E-0012105,1.4
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc(-c5ccccc5)on4)CC3)cc2)C1,E-0012110,2.7
COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,E-0012116,1.9
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc5ccccc5n4C)CC3)cc2)C1,E-0012118,2.3
COC1CN(Cc2ccc(N3CCN(C(=O)c4cc(-c5ccccc5)n(C)n4)CC3)cc2)C1,E-0012129,2.3
COC1CN(Cc2ccc(N3CCN(C(=O)c4c(C)n(C)c5ccccc45)CC3)cc2)C1,E-0012133,2.3
COc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,E-0012135,2.5
COc1ccc2c(c1)c(C(=O)N1CCN(c3ccc(CN4CC(OC)C4)cc3)CC1)cn2C,E-0012136,2.0
COC1CN(Cc2ccc(N3CCN(C(=O)c4c5ccccc5n5ccccc45)CC3)cc2)C1,E-0012140,2.7
COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,E-0012145,1.6
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C)(O)C4)cc3)CC2)c2cccnc21,E-0012150,0.9
COC1(C)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012151,1.2
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(CO)C4)cc3)CC2)c2cccnc21,E-0012152,-0.1
COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012153,0.8
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCCO5)C4)cc3)CC2)c2cccnc21,E-0012154,1.8
CN(C)C(=O)Cc1ccc(Nc2nccc(-c3cccc(NS(C)(=O)=O)c3)n2)cc1,E-0012155,2.1
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc(-c5cccnc5)cn4)cc3)n2)CC1,E-0012156,2.6
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,E-0012157,2.7
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,E-0012158,1.9
CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,E-0012159,3.2
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2)c1,E-0012160,3.3
CN1CCC(Oc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,E-0012161,3.1
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cn3)cc2cn1,E-0012162,2.6
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)nc2)CC1,E-0012163,2.4
O=C(NC1CN(Cc2ccc(Cl)cc2)C1)c1n[nH]c2ccccc12,E-0012164,3.6
Cc1ccc(CNc2nc(-c3ccccc3)cc(=O)[nH]2)cc1,E-0012165,4.3
Cc1cccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)c1,E-0012167,3.0
Cc1ccccc1CNc1nc(-c2ccccc2)cc(=O)[nH]1,E-0012168,4.0
Cc1ccccc1CNc1cc(-c2ccccc2)[nH]c(=O)n1,E-0012169,2.8
CC(C)c1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,E-0012171,3.9
C[C@H](Nc1nc(-c2ccccc2)cc(=O)[nH]1)c1ccccc1,E-0012172,3.9
C[C@H](Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012173,2.7
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(S(N)(=O)=O)c3)n2)cc1,E-0012181,1.2
Fc1cccc(-c2ccnc(Nc3ccc(CN4CCNCC4)cc3)n2)c1,E-0012182,1.9
Fc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,E-0012183,4.1
Fc1cc(F)cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012184,4.3
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(Cl)cn2)CC1,E-0012185,2.6
COc1ccc(-c2cc(NCc3ccc(C)cc3)nc(=O)[nH]2)cc1,E-0012186,3.2
C[C@@H](Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012187,2.7
CC(C)(Nc1cc(-c2ccccc2)[nH]c(=O)n1)c1ccccc1,E-0012188,2.9
O=c1nc(NC2(c3ccccc3)CC2)cc(-c2ccccc2)[nH]1,E-0012189,2.7
O=c1nc(NCc2ccccn2)cc(-c2ccccc2)[nH]1,E-0012190,1.4
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C)(CO)C4)cc3)CC2)c2cccnc21,E-0012194,0.2
COCC1(C)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,E-0012195,1.1
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCO5)C4)cc3)CC2)c2cccnc21,E-0012196,1.3
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(COC5)C4)cc3)CC2)c2cccnc21,E-0012197,0.9
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCO5)C4)cc3)CC2)c2cccnc21,E-0012198,1.5
C[C@@H](Nc1nc(-c2ccccc2)cc(=O)[nH]1)c1ccccc1,E-0012200,4.1
O=c1cc(-c2ccccc2)nc(NC2(c3ccccc3)CC2)[nH]1,E-0012201,3.8
O=c1cc(-c2ccccc2)nc(NCc2ccccn2)[nH]1,E-0012202,2.5
O=c1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2[nH]1,E-0012203,2.7
N#Cc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012205,3.2
Clc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012206,4.4
COc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012207,3.8
CN(C)CCOc1cccc(Nc2nc(-c3ccccc3)cs2)c1,E-0012208,3.5
N#CCNC1CCN(C(=O)c2n[nH]c3ccccc23)CC1,E-0012209,0.6
CC(=O)Nc1ccc(Nc2cc(N)n3nccc3n2)cc1,E-0012210,1.4
CN1CCC(c2ccc(Nc3cc(N)n4nccc4n3)cc2)CC1,E-0012212,1.1
Cn1cc(C(=O)N2CCN(c3ccc(CN4CCC4)cc3)CC2)c2ccccc21,E-0012213,1.1
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(F)C4)cc3)CC2)c2ccccc21,E-0012214,2.7
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(CO)C4)cc3)CC2)c2ccccc21,E-0012216,0.7
COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,E-0012217,1.4
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(C)(CO)C4)cc3)CC2)c2ccccc21,E-0012218,0.9
COCC1(C)CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,E-0012219,1.8
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(COC5)C4)cc3)CC2)c2ccccc21,E-0012220,1.5
Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCCO5)C4)cc3)CC2)c2ccccc21,E-0012221,2.9
O=C(c1cc[nH]n1)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012222,2.6
COc1ccc2[nH]c3c(=O)n(CC[C@H](C)N4CCCCC4)ccc3c2c1,E-0012228,1.8
COc1ccc2[nH]c3c(=O)n(CC[C@@H](C)N4CCCCC4)ccc3c2c1,E-0012229,1.8
COc1ccc2c(c1)c1cc[nH]c(=O)c1n2CC(C)CN1CCCCC1,E-0012230,2.1
O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cn3)cc2N1,E-0012231,1.9
FC(F)(F)c1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012232,4.4
FC(F)(F)Oc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012233,4.7
Cc1c[nH]nc1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012234,2.9
O=C(c1cc(-c2ccccc2)[nH]n1)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012235,4.1
COc1cccc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c12,E-0012236,1.9
O=c1c2[nH]c3cc(OC(F)(F)F)ccc3c2ccn1CCCN1CCCCC1,E-0012237,3.2
COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2c1,E-0012238,1.7
CCc1ccc(CNc2nc(-c3ccccc3)cc(=O)[nH]2)cc1,E-0012239,3.5
CN(C)c1c[nH]nc1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012241,2.6
Cn1nc2ccccc2c1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012242,3.9
CN1CCN(c2ccc(Nc3cc(N)n4nccc4n3)cc2)CC1,E-0012243,1.4
N#Cc1ccc(OC2CCN(C(=O)c3n[nH]c4ccccc34)CC2)cc1,E-0012244,3.2
N#Cc1ccc(CN2CCN(C(=O)c3n[nH]c4ccccc34)CC2)cc1,E-0012245,2.6
Nc1cc2oc(=O)[nH]c2cc1-n1cc(OCCN2CCCCC2)cn1,E-0012246,0.4
CN1CCC(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,E-0012247,3.3
O=C1CCc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2N1,E-0012248,1.6
Fc1cc(-c2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)cc(N2CCOCC2)c1,E-0012249,1.6
Fc1cc(-c2ccnc(Nc3cccc(C4CCNCC4)c3)n2)cc(N2CCOCC2)c1,E-0012250,1.7
NC(=O)Cc1cccc(Nc2nccc(-c3cccc(OC(F)(F)F)c3)n2)c1,E-0012251,4.0
NC(=O)Cc1cccc(Nc2nccc(-c3cccnc3)n2)c1,E-0012252,1.5
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(F)c3)n2)cc1,E-0012253,2.8
COc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0012254,2.8
N#Cc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,E-0012255,2.3
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(OC(F)(F)F)c3)n2)cc1,E-0012256,3.7
NC(=O)Cc1ccc(Nc2nccc(-c3cccnc3)n2)cc1,E-0012257,1.4
COC1CN(Cc2ccc(N3C[C@H]4C[C@@H](C3)N4C(=O)c3cn(C)c4ccccc34)cc2)C1,E-0012262,2.1
COc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)cnc12,E-0012273,1.7
O=C(c1cccc2[nH]cnc12)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012334,3.3
COc1ccc2[nH]c3c(=O)n(C[C@@H](C)CN4CCCCC4)ccc3c2c1,E-0012754,2.2
COc1ccc2[nH]c3c(=O)n(C[C@H](C)CN4CCCCC4)ccc3c2c1,E-0012755,2.2
O=c1c2[nH]c3cc(Cl)ccc3c2ccn1CCCN1CCCCC1,E-0012756,2.7
COc1ccc2[nH]c3c(=O)n([C@H](C)CCN4CCCCC4)cnc3c2c1,E-0012757,1.8
COc1ccc2[nH]c3c(=O)n([C@@H](C)CCN4CCCCC4)cnc3c2c1,E-0012758,1.8
COc1ccc2[nH]c3c(=O)n(CC4(CN5CCCCC5)CC4)cnc3c2c1,E-0012759,2.5
CC(C)N1CCN(c2ncn(-c3ccc(Nc4ncc5cccc(Cl)c5n4)cc3)n2)CC1,E-0012761,4.0
Fc1cc(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc(N2CCOCC2)c1,E-0012762,2.0
NC(=O)Cc1cccc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)c1,E-0012763,2.4
CN1CCN(c2cccc(-c3ccnc(Nc4cccc(CC(N)=O)c4)n3)c2)CC1,E-0012764,1.9
COc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,E-0012765,2.8
N#Cc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,E-0012766,2.3
NC(=O)Cc1ccc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)cc1,E-0012767,2.3
Fc1cccc(-c2cccc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012768,4.0
CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)c2)c1,E-0012769,2.9
CS(=O)(=O)Nc1cccc(-c2cncc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,E-0012770,2.8
CC(C)c1c[nH]nc1C(=O)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012771,3.9
O=C(c1n[nH]cc1-c1ccccc1)N1CCC(Oc2ccc(Cl)cc2)CC1,E-0012772,3.7
N#Cc1ccc(OC2CCN(C(=O)c3n[nH]c4cc(F)ccc34)CC2)cc1,E-0012775,3.8
O=C(c1n[nH]c2cc(F)ccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,E-0012776,4.6
O=C(c1n[nH]c2cc(F)ccc12)N1CCN(Cc2ccc(Cl)cc2)CC1,E-0012777,4.2
